Rank,Title,Citations,Year,URL,Description
31,Knowledgeable development environments using shared design models,63,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:ODE9OILHJdcC,"We describe MASTERMIND, a step toward our vision of a knowledge-based design-time and run-time environment in which human-computer interfaces development is centered around an all-encompassing design model. The MASTERMIND approach is intended to provide integration and continuity across the entire life cycle of the user interface. In addition, it facilitates higher quality work within each phase of the life cycle. MASTERMIND is an open framewodc, in which the design knowledge base allows multiple tools to come into play and makes knowledge created by each tool accessible to the others."
32,Towards specifying and evaluating the human factors of user-computer interfaces,62,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:3fE2CSJIrl8C,"Despite the current interest in user-computer interfaces, the design of a good interface remains to a great extent an art, with much argument over guidelines and principles for interface design. Pertinent information, scattered throughout the literature of psychology, graphic design. linguistics, hardware design, and under the general umbrella of computer science, is only gradually being gathered into survey publications for application by computer scientists [1,4,12,15]. Our purpose is to design a specification language which will serve as a vehicle for the design of and experimentation with user-computer interfaces. The specification language not only defines the external characteristics of the interface, but can also be analyzed to determine whether the interface meets a set of generally-accepted human factors guidelines. We believe the language is general enough to be used with principles of interface design other …"
33,The mental rotation and perceived realism of computer-generated three-dimensional images,56,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:KlAtU1dfN6UC,"Two experiments were performed, one to investigate the effects of computer-generated realism cues (hidden surfaces removed, multiple light sources, surf ace shading) on the speed and accuracy with which subjects performed a Standard cognitive task (mental rotation), the other to study the subjective perceived realism of computer-generated images. In the mental rotation experiment, four angles of rotation, two levels of object complexity, and five combinations of realism cues were varied as subjects performed “same—different” discriminations for pairs of rotated three-dimensional images. Results indicated that mean reaction times were faster for shaded images than for hidden-edge-removed images. In terms of speed of response and response accuracy, significant effects for object complexity and angle of rotation were shown. In the second experiment, subjective ratings of image realism revealed that wireframe …"
34,Graphics programming using the core system,55,1978,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:ULOm3_A8WrAC,"This paper introduces the reader to the principal concepts of interactive graphics programming. These concepts are explained with examples using the Core Graphics System developed by the ACM-SIGGRAPH Graphics Standards Planning Committee (GSPC)[GSPC77]. The Core System is similar in concept to many existing packages. It is designed as a general purpose subroutine package that provides an interface between an application program and graphics hardware, such as line drawing plotters and interactive displays. The major goal of the Core System is to define this interface to be independent of the specific hardware available, so that the application can be used on different computer configurations with minimal changes to the application program. The Core System provides basic application-independent facilities for creating arbitrary views of two-and three-dimensional objects and for supporting …"
35,Interactive clustering for navigating in hypermedia systems,53,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:kNdYIx-mwKoC,"This paper talks about clustering related nodes of an overview diagram to reduce its complexity and size. This is because although overview diagrams are useful for helping the user to navigate in a hypermedia system, for any real-world system these become too complicated and large to be really useful. Both structure-based and content-based clustering are used. Since the nodes can be related to each other in different ways, depending on the situation different clustered views will be useful. Hence, it should be possible to interactively specify the clustering conditions and examine the resulting views. We present efficient clustering algorithms which can cluster the information space in real-time. We talk about the Navigational View Builder, a tool that allows the interactive development of overview diagrams. Finally, we propose a 3-dimensional approach for visualizing these abstracted views."
36,Generalized formal models for faceted user interfaces,43,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:mB3voiENLucC,"Faceted metadata and navigation have become major topics in library science, information retrieval and Human-Computer Interaction (HCI). This work surveys a range of extant approaches in this design space, classifying systems along several relevant dimensions. We use that survey to analyze the organization of data and its querying within faceted browsing systems. We contribute formal entity-relationship (ER) and relational data models that explain that organization and relational query models that explain systems' browsing functionality. We use these types of models since they are widely used to conceptualize data and to model back-end data stores. Their structured nature also suggests ways in which both the models and faceted systems might be extended."
37,Model-based user interface design by example and by interview,42,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:YOwf2qJgpHMC,"Model-based user interface design is centered around a description of application objects and operations at a level of abstraction higher than that of code, A good model can be used to support multiple interfaces, help separate interface and application, describe input sequencing in a simple way, check consistency and completeness of the interface, evaluate the interface’s speed-of-use, generate context-specific help and assist in designing the interface. However, designers mrely use computer-supported application modelling today and prefer less formal approaches such as story boards of user interface prototypes. One reason is that available tools often use cryptic languages for the model specification. Another reason is that these tools force the designers to specify the application model before they can start working on the visual interface, which is their main area of expertise. We present the Interactive User …"
38,An approach to the optimum design of computer graphics systems,42,1971,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:4TOpqqG69KYC,"Display system designers are faced with the difficult task of selecting major subsystems in an intelligent way. Each subsystem is chosen from large numbers of alternatives; the selection is based on considerations such as system response time, system cost, and the distribution of data storage and processing between the graphics processor and its supporting data processing system. The work reported here develops an objective, quantitative design procedure and helps give a better understanding of how to configure display systems. This is accomplished by means of a mathematical model of a computer driven graphics system. The parameters of the model are functions of the capabilities of the graphics hardware and of the computational requirements of the graphics application. The model can be analyzed using numerical queueing analysis or simulation to obtain an average response time prediction. By …"
39,Enhancing the classroom learning experience with Web lectures,39,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:mVmsd5A6BfQC,"In this paper, we present our vision and initial research results on the use of web lectures to enhance the classroom learning experience. By using web lectures to present lecture material in advance of class, more in-class time can be used for authentic and engaging learning activities. A formative evaluation and extensive pilot study have yielded promising results: hence we are further exploring this evolving concept."
40,Graphical Access to Medical Expert Systems: III. Design of a Knowledge Acquisition Environment*,36,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:WC23djZS0W4C,"Knowledge acquisition for expert systems typically is a tedious, iterative process involving long hours of consultation between the domain experts and the computer scientists who serve as knowledge engineers. For well-understood domains, however, it may be possible to facilitate the knowledge acquisition process by allowing domain experts to develop and edit a knowledge base directly. Administration of protocol-directed cancer chemotherapy is such a well-understood application area, and a knowledge acquisition system, called OPAL, has been developed for eliciting chemotherapy-protocol knowledge directly from expert oncologists. OPAL’s knowledge acquisition approach is based on the interactive graphics environment available on current generation workstations. The use of graphics improves the interface by reducing typing, avoiding natural language interpretations, and allowing flexibility in entry …"
